[29/04/2009 23:08:00] /r
[29/04/2009 23:26:36] /a 2
[29/04/2009 23:26:37] /a 2
[29/04/2009 23:26:38] /a 2
[29/04/2009 23:26:40] /a 2
[29/04/2009 23:27:44] /goto ketos royal
[29/04/2009 23:27:47] /goto ketos royal
[29/04/2009 23:27:49] /goto ketos royal
[29/04/2009 23:27:50] /goto ketos royal
[29/04/2009 23:27:52] /goto ketos royal
[29/04/2009 23:27:54] /goto ketos royal
[29/04/2009 23:27:57] /goto ketos royal
[29/04/2009 23:27:59] /goto ketos royal
[29/04/2009 23:28:02] /goto ketos royal
[29/04/2009 23:28:03] /goto ketos royal
[29/04/2009 23:28:05] /goto ketos royal
[29/04/2009 23:28:06] /goto ketos royal
[29/04/2009 23:28:07] /goto ketos royal
[29/04/2009 23:28:09] /goto ketos royal
[29/04/2009 23:28:10] /goto ketos royal
[29/04/2009 23:28:12] /goto ketos royal
[29/04/2009 23:28:13] /goto ketos royal
[29/04/2009 23:28:14] /goto ketos royal
[29/04/2009 23:28:15] /goto ketos royal
[29/04/2009 23:28:16] /goto ketos royal
[29/04/2009 23:28:18] /goto ketos royal
[29/04/2009 23:28:49] /goto ketos royal
[29/04/2009 23:28:57] /goto ketos royal
[29/04/2009 23:28:58] /goto ketos royal
[29/04/2009 23:29:00] /goto ketos royal
[29/04/2009 23:29:23] /goto ketos royal
[29/04/2009 23:29:27] /goto ketos royal
[29/04/2009 23:29:28] /goto ketos royal
[29/04/2009 23:29:30] /goto ketos royal
[29/04/2009 23:29:36] /goto ketos royal
